id,name,type,category,city,description,heat_score,rating_score,tag_json,cover_url,status,created_at,lng_lat
24,西打磨厂街,scenic,历史文化街区,北京市,西打磨厂街是一条坐落于前门东区的老街，全长1145米，宽5到8米。,4.2,4,Citywalk|东交民巷片区|中西合璧|临汾会馆|会馆文化|免费景点|历史文化街区|民国建筑|老北京风情|胡同/四合院,https://r1.visitbeijing.com.cn/vbj-s/2017/0919/20170919041557646.jpg,1,,
25,正阳美术馆,scenic,文化艺术空间,北京市,正阳美术馆位于北京市正阳门外的前门大街上。,1.2,4.2,文创园区|美术馆/艺术馆|艺术展览,https://r1.visitbeijing.com.cn/vbj-s/2017/0825/20170825052237710.jpg,1,,
26,红星源升号博物馆,scenic,博物馆/展览馆,北京市,红星源升号博物馆坐落于北京市前门大街99号（原粮食店街40号）。,1.2,4.5,博物馆|酒文化|二锅头|老字号|工业遗产,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824032746374.jpg,1,,
27,御花园,scenic,历史古迹,北京市,御花园位于北京紫禁城中轴线上，坤宁宫后方，明代称为宫后苑，清代称御花园。,4.5,4.8,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821042151859.jpg,1,,
28,坤宁宫,scenic,历史古迹,北京市,坤宁宫为中国古代宫殿建筑之精华。属于北京故宫内廷后三宫之一，位于交泰殿后面。,3.5,4.5,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821035417422.jpg,1,,
29,保和殿,scenic,历史古迹,北京市,保和殿是中国传统宫殿建筑之精华，属于北京故宫中的一座殿宇式建筑。,4.4,4.7,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821033109142.jpg,1,,
30,中和殿,scenic,历史古迹,北京市,中和殿是北京故宫外朝三大殿之一，属于中国传统宫殿建筑之精华。,3.5,4.7,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0821/20170821031350544.jpg,1,,
31,交泰殿,scenic,历史古迹,北京市,交泰殿是一处历史悠久的汉族宫殿建筑，属于北京故宫内廷后三宫之一，位于乾清宫和坤宁宫之间。,3.3,4.5,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818053628779.jpg,1,,
32,养心殿,scenic,历史古迹,北京市,养心殿是历史悠久的汉族宫殿建筑，始建于明代嘉靖年间，位于内廷乾清宫西侧。清代有八位皇帝先后居住在养心殿。,3.6,4.8,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818045621545.jpg,1,,
33,太和殿,scenic,历史古迹,北京市,太和殿俗称金銮殿，为中国古代宫殿建筑之精华，东方三大殿之一。,5.6,4.9,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818041313207.jpg,1,,
34,乾清宫,scenic,历史古迹,北京市,乾清宫是内廷正殿，即民间所谓“后三宫（乾清宫、交泰殿、坤宁宫）中的第一座宫殿。,4.1,4.8,中轴线遗产|故宫组成部分|明清历史|皇家建筑|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0818/20170818035252160.jpg,1,,
35,明皇城东安门遗址,scenic,历史古迹,北京市,东皇城墙始建于明永乐十八年（1420年）墙为南北走向，正对紫禁城东华门设东安门。,1.2,4.5,下沉式展示|免费景点|历史文化|明清历史|皇城遗址|皇恩桥|考古|考古遗址|遗址|遗址公园,https://r1.visitbeijing.com.cn/vbj-s/2017/0817/20170817061246535.jpg,1,,
36,袁崇焕祠墓,scenic,纪念馆/名人故居,北京市,袁崇焕祠墓是为纪念明末清初抗清将领袁崇焕所修建，包括墓碑、祠堂、庙宇等一系列纪念建筑。,2.2,4.7,名人故居|纪念馆|爱国主义教育|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816054948910.jpg,1,,
37,北锣鼓巷,scenic,历史文化街区,北京市,北锣鼓巷，安定门内大街西侧，呈南北走向。北起安定门西大街，南止鼓楼。,4,4.6,Citywalk|免费景点|南锣鼓巷对面|安静休闲|文艺小店|老北京风情|胡同/四合院|黄瓦财神庙,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816051223201.jpg,1,,
38,齐白石故居,scenic,纪念馆/名人故居,北京市,齐白石故居位于辟才胡同内跨车胡同13号。,2.9,4.7,名人故居,https://r1.visitbeijing.com.cn/vbj-s/2017/0922/20170922032128388.jpg,1,,
39,漪澜堂,scenic,历史古迹,北京市,漪澜堂位于北海公园内，在碧照楼之南，为该处建筑群中的主殿，其西侧为“道宁斋”这组建筑，是乾隆三十六年(1771)，仿照镇江金山寺建造的。,1.7,4,古典园林|湖光山色|皇家园林,https://r1.visitbeijing.com.cn/vbj-s/2017/0914/20170914051555796.jpg,1,,
40,北海白塔,scenic,历史古迹,北京市,北海白塔，位于北京北海公园的琼华岛上，始建于清初顺治八年，属于藏式喇嘛塔。,2.5,4.3,历史遗迹|古典园林|文化遗产|湖光山色|皇家园林|石刻艺术,https://r1.visitbeijing.com.cn/vbj-s/2017/0912/20170912050022416.jpg,1,,
41,西单商业文化博物馆,scenic,博物馆/展览馆,北京市,西单商业文化博物馆位于西单商场南五层，建筑面积500余平方米。,2.4,4.3,博物馆|历史文化|商业街区|网红打卡|购物美食,https://r1.visitbeijing.com.cn/vbj-s/2017/0911/20170911044606762.jpg,1,,
42,北京京报馆旧址,scenic,博物馆/展览馆,北京市,北京京报馆位于西城区骡马市大街魏染胡同30号，是邵飘萍1916年后在北京的住所。,2.5,4.8,中西合璧建筑|京报|免费景点|博物馆|名人故居|新闻史|爱国主义教育|红色旅游|邵飘萍,https://r1.visitbeijing.com.cn/vbj-s/2017/0825/20170825044612462.jpg,1,,
43,林白水故居,scenic,纪念馆/名人故居,北京市,林白水故居为北京原宣武区区级文物保护单位。位于原宣武区棉花头条（见棉花胡同）。,4,4.5,名人故居,https://r1.visitbeijing.com.cn/vbj-s/2017/0825/20170825034315564.jpg,1,,
44,谭嗣同故居,scenic,纪念馆/名人故居,北京市,原湖南浏阳会馆，是谭嗣同1898年在京时的住所。,1.9,4.4,名人故居,https://r1.visitbeijing.com.cn/vbj-s/2017/0825/20170825033154709.jpg,1,,
45,绮望楼,scenic,历史古迹,北京市,绮望楼位于景山公园南门内，原址明代时称“山前殿”。,2,4.5,历史建筑|古建筑|观景建筑,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824052224619.jpg,1,,
46,火德真君庙,scenic,宗教场所,北京市,火德真君庙，在北京市西城区地安门外大街77号。,3.3,4.6,宗教建筑|道教,https://r1.visitbeijing.com.cn/vbj-s/2017/0823/20170823044156807.jpg,1,,
47,潭西胜境景区,scenic,自然景区,北京市,潭西胜境景区位于北京市西城区德胜门西侧的积水潭。,1.7,4.9,亲水|休闲|城市公园|水域风光|水景,https://r1.visitbeijing.com.cn/vbj-s/2017/0815/20170815095330403.jpg,1,,
48,克勤郡王府,scenic,历史古迹,北京市,克勤郡王府国家重点文物保护单位，为清代现存规模较好的一座王府，此府是顺治年间所建。,2.3,4.7,北京市文物保护单位|历史建筑|清代建筑|王府|礼亲王代善|铁帽子王,https://r1.visitbeijing.com.cn/vbj-s/2017/0814/20170814022855869.jpg,1,,
49,礼王府,scenic,历史古迹,北京市,礼王府位于西黄城根南街7号、9号。明代是崇祯皇帝的外戚周奎的私宅。,2,4.3,代善|历史建筑|清代建筑|清代第一王|王府|礼亲王|铁帽子王,https://r1.visitbeijing.com.cn/vbj-s/2017/0814/20170814025128598.jpg,1,,
50,北京庆王府,scenic,历史古迹,北京市,庆王府西城区定阜街3号。为清末再封庆亲王奕劻的王邸，庆王府当是在光绪十年(1884)晋封庆郡王后按王府规制改建，始称王府。,1.9,3.8,历史建筑|奕劻|庆亲王|清代建筑|王府|铁帽子王,https://r1.visitbeijing.com.cn/vbj-s/2017/0814/20170814041530146.jpg,1,,
51,郑王府,scenic,历史古迹,北京市,郑王府是北京市重点保护文物，为清代规模较大的一座王府，曾作为钟郡王奕诒的宅邸。,2.2,4.9,历史建筑|惠园|济尔哈朗|清代建筑|王府|郑亲王|铁帽子王,https://r1.visitbeijing.com.cn/vbj-s/2017/0814/20170814044722547.jpg,1,,
52,大观楼影城,scenic,演艺剧场,北京市,大观楼影城，1905年，原“大亨轩茶楼”改名为“大观楼影戏园”，是南城最早的固定放映电影场所之一。,2.2,3.6,演艺剧场|电影文化,https://r1.visitbeijing.com.cn/vbj-s/2017/0412/20170412070735857.jpg,1,,
53,恩佑寺,scenic,宗教场所,北京市,恩佑寺与恩慕寺毗邻而建，位于清代三山五园之一的畅春园内，是畅春园尚存的遗迹之一，现在位于北京大学西门颐和园路西边。,9.2,4.8,佛教|宗教建筑,https://r1.visitbeijing.com.cn/vbj-s/2017/1222/20171222032517527.jpg,1,,
54,孙中山纪念堂,scenic,纪念馆/名人故居,北京市,北京孙中山纪念堂位于香山公园碧云寺第五进院落内，原为普明妙觉殿。,1.9,4.5,名人故居|纪念馆|革命历史|民国历史,https://r1.visitbeijing.com.cn/vbj-s/2017/1222/20171222030903824.jpg,1,,
55,中国农业大学昆虫标本馆,scenic,博物馆/展览馆,北京市,中国农业大学昆虫标本馆位于中国农业大学档案史馆二层内，是一家小型昆虫标本展览馆。,2.5,5,教育文化|高校校园,https://r1.visitbeijing.com.cn/vbj-s/2017/1221/20171221053728920.jpg,1,,
56,中国饲料博物馆,scenic,博物馆/展览馆,北京市,中国饲料博物馆总占地面积3280平方，是由政府倡导、中国农业大学批准成立、农业部饲料工业中心负责筹建的永久性公益博物馆。,5.1,4,博物馆|农业|畜牧业|科技,https://r1.visitbeijing.com.cn/vbj-s/2017/1222/20171222032658267.jpg,1,,
57,首都滑冰馆,scenic,体育场馆,北京市,首都滑冰馆位于中关村南大街54号维也纳酒店东，是中国冰上运动场地之一。,1.9,3,体育场馆|运动健身,https://r1.visitbeijing.com.cn/vbj-s/2017/1017/20171017032840372.jpg,1,,
58,齐物潭公园,scenic,城市公园,北京市,齐物潭公园地址位于海淀区地锦路15号。,6.8,4.2,休闲娱乐|城市公园,https://r1.visitbeijing.com.cn/vbj-s/2017/1012/20171012044104333.jpeg,1,,
59,五棵松奥林匹克文化公园,scenic,城市公园,北京市,五棵松奥林匹克文化公园位于西四环五棵松桥东北角。,2.6,4.7,休闲娱乐|体育场馆|地标建筑|城市公园|奥运遗产|运动健身,https://r1.visitbeijing.com.cn/vbj-s/2017/1011/20171011053331640.jpg,1,,
60,佛香阁,scenic,历史古迹,北京市,佛香阁是北京市颐和园的主体建筑，建筑在万寿山前山高20米的方形台基上。,4.2,4.8,世界遗产|古典园林|湖光山色|皇家园林,https://r1.visitbeijing.com.cn/vbj-s/2017/0928/20170928052507590.jpg,1,,
61,中关村森林公园,scenic,森林/湿地公园,北京市,中关村森林公园位于北京市海淀区唐家岭，总体规划面积为5100，相当于圆明园大小。,2.4,4.9,森林公园|自然生态,https://r1.visitbeijing.com.cn/vbj-s/2017/0927/20170927071706764.jpg,1,,
62,梁启超墓,scenic,历史古迹,北京市,梁启超墓其实是梁启超家族墓园，梁启超、他的两位夫人、弟弟梁启雄还有三位儿子均葬于此地。,5.2,4.6,北京市文物保护单位|名人墓园|家族墓园|思想家|戊戌变法|无字碑|梁启超|梁思成设计|植物园,https://r1.visitbeijing.com.cn/vbj-s/2017/0918/20170918051422653.jpg,1,,
63,苏州街,scenic,历史古迹,北京市,苏州街位于北京的西北郊，是后湖两岸仿江南水镇而建的买卖街，乾隆时仿江南水乡的风貌而建，是专供清代帝后逛市游览的的一条水街。,3.4,3.6,世界遗产|古典园林|湖光山色|皇家园林,https://r1.visitbeijing.com.cn/vbj-s/2017/0913/20170913044519531.jpg,1,,
64,东岳娘娘庙,scenic,宗教场所,北京市,城子山娘娘庙，也称东岳娘娘庙，建于明代，清朝重修。,1.3,3.6,宗教建筑|道教,https://r1.visitbeijing.com.cn/vbj-s/2017/0913/20170913034834553.jpg,1,,
65,北京植物园樱桃沟,scenic,自然景区,北京市,樱桃沟位于卧佛寺西北，又名“退谷”“周家花园”，因富于野趣而著称。,1.1,3.9,一二九运动纪念地|元宝石|喷雾景观|曹雪芹传说|植物园|水杉林|水源头|石上松|秋季赏叶|红色旅游|避暑胜地,https://r1.visitbeijing.com.cn/vbj-s/2017/0912/20170912043958940.jpg,1,,
66,清华学堂,campus,校园教育,北京市,德国古典风格的清华学堂青砖红瓦、坡顶陡起，是清华大学标志性建筑之一。,2.7,4,名校|教育文化|网红打卡|高校校园,https://r1.visitbeijing.com.cn/vbj-s/2017/0911/20170911050817153.jpg,1,,
67,慈寿寺塔,scenic,宗教场所,北京市,慈寿寺塔坐落在北京海淀区八里庄慈寿寺内，原名永安万寿塔，又名永安万寿塔、八里庄塔、玲珑宝塔，仿天宁寺塔而建。,1.3,4.7,佛教|历史遗迹|宗教建筑|文化遗产|石刻艺术,https://r1.visitbeijing.com.cn/vbj-s/2017/0829/20170829043537520.jpg,1,,
68,昆明湖,scenic,历史古迹,北京市,昆明湖位于北京的颐和园内，颐和园景区门票30元起，昆明湖是其中著名的景点之一，不另收费，面积约为颐和园总体面积的四分之三。,9.2,3.7,世界遗产|休闲垂钓|古典园林|水域风光|湖光山色|皇家园林|自然景观,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824043424404.jpg,1,,
69,十七孔桥,scenic,历史古迹,北京市,十七孔桥是古代桥梁建筑的杰作。位于北京市西郊颐和园内，颐和园门票30元起，十七孔桥不另收费，是连接昆明湖东岸与南湖岛的一座长桥。,8.3,4,世界遗产|交通建筑|古典园林|桥梁建筑|湖光山色|皇家园林,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824041040983.jpg,1,,
70,鉴园遗址,scenic,历史古迹,北京市,鉴园遗址，位于圆明园长春园东南部，如园东北，长春园东门（也叫大东门）以南，西临长湖，东倚园墙。占地6000平方米，建筑面积1900平方米。,9.3,4.2,历史文化|考古|遗址,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824035222733.jpg,1,,
71,元土城遗址公园,scenic,历史古迹,北京市,元世祖在元四年（1267年）至十三年（1276年）建。现存遗迹为当时之北城墙东段。,3.7,4.5,历史文化|考古|遗址|遗址公园,https://r1.visitbeijing.com.cn/vbj-s/2017/0815/20170815044725839.jpg,1,,
72,九眼楼长城,scenic,历史古迹,北京市,九眼楼长城位于北京市延庆县四海镇。,8.1,3.9,世界遗产|摄影打卡|登山徒步|长城段,https://r1.visitbeijing.com.cn/vbj-s/2017/0913/20170913041816103.jpg,1,,
73,白河堡水库,scenic,自然景区,北京市,白河堡水库位于延庆县香营乡北部，得名于明代要塞靖安堡，因靖安堡扼守白河峡谷，俗名白河堡。,2.4,4.7,休闲垂钓|水域风光|自然景观,https://r1.visitbeijing.com.cn/vbj-s/2017/0815/20170815031131989.jpg,1,,
74,北京莲花山森林公园,scenic,森林/湿地公园,北京市,它不仅因传说“莲花”美女及汉钟离、吕洞宾曾在此山修炼成仙而闻名，更因山奇、水美、林茂、谷幽而引来八方游客。,4.6,4.4,森林公园|自然生态,https://r1.visitbeijing.com.cn/vbj-s/2015/0721/20150721105133401.jpg,1,,
75,十三陵·定陵,scenic,历史古迹,北京市,定陵地下宫殿是中国著名地下建筑之一，明代神宗皇帝朱翊钧（1573～1620年）的陵墓。,3.8,4.1,世界遗产|明清历史|皇家陵寝|遗产古迹,https://r1.visitbeijing.com.cn/vbj-s/2017/0915/20170915035621169.jpg,1,,
76,英雄大道,scenic,纪念馆/名人故居,北京市,英雄大道雕塑区是连接空军英雄历史与胜利未来的精神主线，全长180米、宽24米，中间是以"中国航空之父"冯如为开端的11组铸铜雕塑。,2.5,4.2,历史文化|红色旅游|纪念,https://r1.visitbeijing.com.cn/vbj-s/2017/0824/20170824045325204.jpg,1,,
77,顶秀美泉小镇,scenic,度假休闲,北京市,顶秀美泉小镇位于，紧临美丽的雁栖河畔。,3.2,4.7,亲水|休闲|古镇古村|度假|欧式小镇|民俗风情|水域风光,https://r1.visitbeijing.com.cn/vbj-s/2017/0823/20170823042328356.jpg,1,,
78,北京塞隆国际文化创意园,scenic,文化艺术空间,北京市,北京塞隆国际文化创意园，由首农集团与中国电力传媒集团共同出资打造，东临双桥东路，南抵即将开通的广渠路延长线，园区交通位置优越，占地面积72亩，建筑面积2.4万平方米。,2.4,4.8,创意产业|文创园区|艺术空间,https://r1.visitbeijing.com.cn/vbj-s/2017/1204/20171204045803606.jpg,1,,
79,奥林匹克森林公园四季滑雪场,scenic,体育场馆,北京市,奥森四季滑雪场位于北京市标杆性全民健身场所奥林匹克森林公园南园内。,2.2,3.6,体育场馆|冬季运动|地标建筑|奥运遗产|森林公园|滑雪|自然生态|运动健身,https://r1.visitbeijing.com.cn/vbj-s/2017/0914/20170914050323511.jpg,1,,
80,中国国学中心,scenic,博物馆/展览馆,北京市,中国国学中心系奥林匹克公园内首个国家级博物馆，外形似”鼎“设16个展厅。,1.6,4.5,文化场馆|博物馆,https://r1.visitbeijing.com.cn/vbj-s/2017/0913/20170913032315614.jpg,1,,
81,廉洁奥运主题文化园,scenic,城市公园,北京市,廉洁奥运主题文化园位于北京市奥林匹克森林公园南园。,2.1,4,文化公园|主题公园|奥运遗产|廉政文化,https://r1.visitbeijing.com.cn/vbj-s/2017/0911/20170911042821232.jpg,1,,
82,北京奥林匹克公园观光塔,scenic,城市公园,北京市,北京观光塔最高处为246.8米，为国内第6高。该观光塔位于奥林匹克森林公园南门外，被网友称为”大钉子”。,7.1,4.8,休闲娱乐|体育场馆|地标建筑|城市公园|奥运遗产|文化遗产|运动健身|观光塔,https://r1.visitbeijing.com.cn/vbj-s/2017/0817/20170817050724758.jpg,1,,
83,常营天街购物中心,scenic,商业街区,北京市,北京龙湖长楹天街购物中心，坐落于朝阳区朝阳北路常营段，无缝连接地铁六号线常营站。,4,4.4,商业街区|网红打卡|购物美食,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816053056159.jpg,1,,
84,北京国香馆,scenic,文化艺术空间,北京市,北京国香馆，是一个陈年名酒珍藏馆。,3.1,3.8,展览|文化场馆,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816045246471.jpg,1,,
85,北京提香高尔夫俱乐部,scenic,体育场馆,北京市,北京提香高尔夫俱乐部位于北京市房山区，是一所球道全长3550码，标准杆36杆的俱乐部，由球场刘军设计。,2.2,4.1,体育场馆|体育运动|运动健身|高尔夫|高端休闲,https://r1.visitbeijing.com.cn/vbj-s/2016/1116/20161116035846189.jpg,1,,
86,墙子路长城,scenic,历史古迹,北京市,墙子路长城位于北京密云县城东约40公里。周围群山环绕，地势险峻，是明朝长城上的一座重要城池，是北京东部的要隘之一，为兵家必争之地。,9.9,4.6,世界遗产|摄影打卡|登山徒步|长城段,https://r1.visitbeijing.com.cn/vbj-s/2017/0918/20170918040616950.jpg,1,,
87,独秀峰,scenic,自然景区,北京市,位于冯家峪村北两公里的白马关河畔，占地3000亩，景色秀美。,3,3.7,山地风光|摄影|登山|自然景观,https://r1.visitbeijing.com.cn/vbj-s/2017/0823/20170823054159617.jpg,1,,
88,将军石,scenic,自然景区,北京市,将军石位于冯家峪镇番子牌村大平台村的南山。,5.7,3.9,山地风光|摄影|登山|自然景观,https://r1.visitbeijing.com.cn/vbj-s/2017/0823/20170823052843743.jpg,1,,
89,番字石刻,scenic,历史古迹,北京市,番字石刻，位于北京市密云县番字牌乡番字牌村北小孤山上，为北京市文物保护单位。,3.2,3.7,历史遗迹|文化遗产|石刻艺术,https://r1.visitbeijing.com.cn/vbj-s/2017/0823/20170823051102589.jpg,1,,
90,古北口保卫战纪念碑,scenic,纪念馆/名人故居,北京市,古北口保卫战纪念碑位于密云县古北口镇东山坡上，于1986年落成。,5.1,4.5,摄影打卡|爱国主义教育|登山徒步|红色旅游,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816034116228.jpg,1,,
91,卢沟桥历史博物馆,scenic,博物馆/展览馆,北京市,卢沟桥历史博物馆位于永定河河畔的卢沟桥东的桥头广场，是一座全面展示卢沟桥历史文化的专题性博物馆。博物馆经过全面提升改造、重新布展，以全新的面貌展示卢沟桥800多年的历史。2023年9月15日对游客开放。,2,3.9,交通建筑|博物馆|历史文化|桥梁建筑,https://r1.visitbeijing.com.cn/vbj-s/2024/0614/c98a909c678da2af53be9f6f797de2ea.png,1,,
92,石景山古建筑群,scenic,历史古迹,北京市,石景山主要古建群有：石景山唐代金阁寺遗址碧霞元君庙、元君殿、天空寺、古井等。,1.9,4.6,历史遗迹|古建筑|文化遗产,https://r1.visitbeijing.com.cn/vbj-s/2017/0915/20170915042201469.jpg,1,,
93,狼窝港密檐塔,scenic,历史古迹,北京市,狼窝港密檐塔位于斋堂镇西斋堂村，原有三座，呈品字形排列，建于明代顺年间（1459）五月。,4.6,3.6,历史遗迹|文化遗产|石刻艺术,https://r1.visitbeijing.com.cn/vbj-s/2017/0914/20170914053526902.jpg,1,,
94,北京七彩蝶园,scenic,主题乐园,北京市,在这里，您可以与蝴蝶共舞；轻松玩转蝴蝶科普世界；亲手制作蝶翅画，体验无限乐趣；领略千年蝴蝶文化，感受蝴蝶历史魅力。,5.9,3.6,亲子互动|动物园|昆虫|科普教育,https://r1.visitbeijing.com.cn/vbj-s/2013/0308/20130308035215922.jpg,1,,
95,北京乡村高尔夫俱乐部,scenic,体育场馆,北京市,这里的高大树木和茵茵绿草会带给你不一样的心情和愉悦。当然了，还有这里的纯朴的乡村风情会让你找到回家的感觉。,2.1,4.5,体育场馆|体育运动|运动健身|高尔夫|高端休闲,https://r1.visitbeijing.com.cn/vbj-s/2015/0513/20150513050422847.jpg,1,,
96,什院木艺工坊,scenic,文化艺术空间,北京市,“什院”坐落于北京宋庄镇丁各庄村丁个庄路37号，是由几名志同道合的朋友共同打造的木作空间，希望通过自己的努力让木作这件事变得简单、有趣，让更多的人可以参与进来，以木会友，感受木作的快乐。线下活动包括初级和中级的系统培训、定期的主题木作同城旅游活动，包括承接团建活动等；线上有淘宝、微店两个木工艺术品牌“什良”网店，做工精良、简约。,4.3,4.1,手工艺|文化体验|非遗体验,https://r1.visitbeijing.com.cn/vbj-s/2018/0606/20180606040949866.jpg,1,,
97,通州运河文化广场,scenic,城市公园,北京市,通州运河文化广场位于通州区东关大桥北侧，南临通胡路，西倚运河东岸，为百里长安街东起点、京杭大运河北起点。,2.5,4.6,公共活动空间|城市广场,https://r1.visitbeijing.com.cn/vbj-s/2017/0816/20170816042744743.jpg,1,,
